Processing graph to get co-occurrence rankings...
Rank 99    : Northstar / Jean-paul          (co-occurrences: 1167)
Rank 100   : Spider-woman Ii / Juli         (co-occurrences: 1161)
Rank 101   : Magik / Illyana Rasput         (co-occurrences: 1156)
Rank 102   : Enchantress / Amora / He       (co-occurrences: 1129)
Rank 103   : Thunderbird Ii / James         (co-occurrences: 1119)
Rank 104   : Iron Man Iv / James R.         (co-occurrences: 1100)
Rank 105   : Warlock Iii                    (co-occurrences: 1098)
Rank 106   : Living Lightning / Mig         (co-occurrences: 1084)
Rank 107   : Speedball / Robbie Bal         (co-occurrences: 1052)
Rank 108   : Thanos                         (co-occurrences: 1037)
Rank 109   : Rictor / Julio Esteban         (co-occurrences: 1036)
Rank 110   : Osborn, Harry                  (co-occurrences: 1036)
Rank 111   : Justice Ii / Vance Ast         (co-occurrences: 1029)
Rank 112   : Hellcat / Patsy Walker         (co-occurrences: 1025)
Rank 113   : Pharaoh Rama-tut               (co-occurrences: 1024)
Rank 114   : Uatu                           (co-occurrences: 1023)
Rank 115   : Triton                         (co-occurrences: 994)
Rank 116   : Drax / Arthur Douglas          (co-occurrences: 985)
Rank 117   : Aurora / Jeanne-marie          (co-occurrences: 985)
Rank 118   : Lilandra Neramani [s           (co-occurrences: 974)
Rank 119   : Harkness, Agatha               (co-occurrences: 966)
Rank 120   : Cypher / Doug Ramsey           (co-occurrences: 964)
Rank 121   : Siryn / Theresa Rourke         (co-occurrences: 951)
Rank 122   : Heimdall [asgardian]           (co-occurrences: 951)
Rank 123   : Multiple Man / James A         (co-occurrences: 950)
Rank 124   : Lockjaw [inhuman]              (co-occurrences: 947)
Rank 125   : Mystique / Raven Darkh         (co-occurrences: 938)
Rank 126   : Warlock Ii / Adam Warl         (co-occurrences: 931)
Rank 127   : Kingpin / Wilson Fisk          (co-occurrences: 920)
Rank 128   : Cooper, Dr. Valerie            (co-occurrences: 902)
Rank 129   : Cage, Luke / Carl Luca         (co-occurrences: 899)
Rank 130   : Banner, Betty Ross T           (co-occurrences: 899)
Rank 131   : Dr. Druid / Anthony Lu         (co-occurrences: 895)
Rank 132   : Osborn, Liz Allan              (co-occurrences: 889)
Rank 133   : Lockheed                       (co-occurrences: 888)
Rank 134   : Phoenix Iii / Rachel S         (co-occurrences: 886)
Rank 135   : Dazzler Ii / Allison B         (co-occurrences: 865)
Rank 136   : Captain Britain / Bria         (co-occurrences: 861)
Rank 137   : Dugan, Timothy Aloyi           (co-occurrences: 857)
Rank 138   : Urich, Ben                     (co-occurrences: 835)
Rank 139   : Dr. Octopus / Otto Oct         (co-occurrences: 817)
Rank 140   : Blob / Fred J. Dukes           (co-occurrences: 814)
Rank 141   : Nelson, Franklin Fog           (co-occurrences: 788)
Rank 142   : Iron Fist / Daniel Ran         (co-occurrences: 782)
Rank 143   : White Queen / Emma Fro         (co-occurrences: 779)
Rank 144   : Ross, Gen. Thaddeus            (co-occurrences: 765)
Rank 145   : Nova Ii / Frankie Raye         (co-occurrences: 752)
Rank 146   : Meggan                         (co-occurrences: 741)
Rank 147   : Apocalypse / En Sabah          (co-occurrences: 736)
Rank 148   : Watson, Anna                   (co-occurrences: 732)
Rank 149   : Ultron                         (co-occurrences: 717)
Rank 150   : Sandman / William Bake         (co-occurrences: 708)
Rank 151   : Magus                          (co-occurrences: 708)
Rank 152   : Wrecker Iii / Dirk Gar         (co-occurrences: 697)
Rank 153   : Moon Knight / Marc Spe         (co-occurrences: 696)
Rank 154   : Nighthawk Ii / Kyle Ri         (co-occurrences: 694)
Rank 155   : Darkhawk / Chris Powel         (co-occurrences: 687)
Rank 156   : Thunderball / Dr. Elio         (co-occurrences: 679)
Rank 157   : Power Man / Erik Joste         (co-occurrences: 673)
Rank 158   : Vizier                         (co-occurrences: 670)
Rank 159   : Gamora                         (co-occurrences: 670)
Rank 160   : Magma / Amara Aquilla /        (co-occurrences: 665)
Rank 161   : Absorbing Man / Carl C         (co-occurrences: 654)
Rank 162   : Wong                           (co-occurrences: 652)
Rank 163   : Lyja Lazerfist [skru           (co-occurrences: 651)
Rank 164   : Grant, Gloria Glory            (co-occurrences: 650)
Rank 165   : Caliban /                      (co-occurrences: 647)
Rank 166   : Marrow / Sarah                 (co-occurrences: 643)
Rank 167   : Shatterstar Ii / Gavee         (co-occurrences: 641)
Rank 168   : Pip / Prince Gofern            (co-occurrences: 639)
Rank 169   : Moonstone Ii / Karla S         (co-occurrences: 637)
Rank 170   : Ant-man Ii / Scott Har         (co-occurrences: 627)
